cut02,year,population,dependency_rate,schooling,rural_share,sh_first_pea,sh_second_pea,sh_third_pea
1101,2002,166204,46.51140240301126,10.967772901810203,1.0878197877307405,6.61522633744856,6.923868312757202,84.836860670194
1102,2002,1275,83.98268398268398,6.602469135802469,100.0,66.600790513834,1.5810276679841897,31.225296442687743
1103,2002,1649,61.825318940137386,6.977966101694915,100.0,36.30952380952381,2.8273809523809526,57.886904761904766
1104,2002,2599,67.24581724581724,7.669734704926909,100.0,43.529411764705884,3.3484162895927603,52.488687782805435
1105,2002,6178,26.10736885078587,11.19017823284035,24.344448041437357,31.35573028353586,5.456278294019538,62.59232785322849
1106,2002,10830,46.31180761956228,9.654269972451791,33.499538319482916,31.20092378752887,6.720554272517321,59.65357967667436
1107,2002,50215,63.3751952108277,9.525819233914083,0.04978592054167082,6.34305640117341,8.363314329993912,83.68849283223557
1201,2002,185268,49.24719055866597,10.466458909420767,5.304207958201093,9.120356311367548,8.618570416323225,79.36459734212544
1202,2002,1220,48.78048780487805,8.14607948442535,100.0,41.21510673234811,2.955665024630542,55.008210180623976
1301,2002,1977,35.040983606557376,8.121821407451213,37.53161355589277,29.064039408866993,1.8472906403940887,66.99507389162561
1302,2002,1179,42.04819277108434,6.8633474576271185,100.0,27.821522309711288,0.7874015748031495,68.76640419947506
2101,2002,296905,47.752890065539674,10.852714556661924,0.3748673818224685,10.124604012671593,8.626821541710665,79.81414994720168
2102,2002,8418,48.67537972447899,9.921083044411425,6.296032311712995,25.50297534712383,12.439784641541513,61.12213091527345
2103,2002,2356,21.131105398457585,10.535749751737836,100.0,45.361411496869664,6.659077973819009,47.63801935116676
2104,2002,11100,52.1173084829382,9.256035656803268,13.837837837837839,33.83838383838384,6.3552188552188555,58.27020202020202
2201,2002,138402,50.897851045039744,10.594498405111848,1.3020043062961517,16.99309179098993,7.260968619093114,74.15668405967517
2202,2002,318,48.598130841121495,8.23913043478261,100.0,22.68041237113402,14.432989690721648,62.371134020618555
2203,2002,4969,39.22667413841412,9.368873168266802,60.99818877037634,16.601983613626565,3.3203967227253126,78.8702026735662
2301,2002,23986,56.54614280120088,9.7379109688682,2.6432085383140165,12.445233866193012,7.116637063351096,78.06986382474838
2302,2002,7530,43.37395277989338,10.467962962962963,1.5670650730411688,35.34183082271147,9.009269988412514,53.96871378910776
3101,2002,129091,52.85724435182115,10.157621340836535,2.4076039383070857,18.833401555464594,5.532132623823168,73.71878837494883
3102,2002,13734,54.592525889239084,9.604153814517787,1.4125527886995777,30.383536014967262,9.242282507015902,58.709073900841915
3103,2002,12888,51.072558902824994,8.329885683179096,33.44196151458721,60.08161751066593,3.3574475978482656,34.70599146726025
3201,2002,13543,58.731833098921705,9.289517996211323,2.680351473085727,20.95703125,6.26953125,70.48828125
