cut_2026,year,bonus_total_uf
04102,2017,7316.51
04102,2018,5428.82
04102,2019,11464.39
04103,2010,511.07
04103,2011,1559.41
04103,2012,1070.11
04104,2008,550.47
04104,2009,5941.38
04104,2016,1863.73
04104,2018,690.4300000000001
04104,2019,308.76
04105,1989,2467.39
04105,1991,1691.35
04105,1994,863.75
04105,1996,638.53
04105,1998,754.01
04105,2001,302.41
04105,2003,1540.6599999999999
04105,2008,4815.36
04105,2009,5287.57
04105,2010,1953.66
04105,2011,1436.42
04105,2012,9076.869999999999
04105,2013,4669.63
04105,2014,7559.7300000000005
04105,2015,9526.99
04105,2016,9635.27
04105,2017,25074.190000000002
04105,2018,12362.21
04105,2019,12050.720000000001
04106,1988,925.08
04106,1989,2104.91
04106,1992,897.63
04106,1993,1009.82
04106,1994,892.77
04106,1995,4773.28
04106,1996,4215.83
04106,1997,4095.16
04106,1998,4965.83
04106,1999,3161.6800000000003
04106,2000,3904.62
04106,2001,1912.29
04106,2002,1483.04
04106,2003,2006.98
04106,2004,743.6
04106,2006,1003.42
04106,2007,8848.93
04106,2008,22898.95
04106,2009,8288.98
04106,2010,18556.75
04106,2011,6644.23
04106,2012,11139.740000000002
04106,2013,22142.57
04106,2014,50563.119999999995
04106,2015,47824.96
04106,2016,24659.85
04106,2017,21532.12
04106,2018,23341.43
04106,2019,26901.2
04201,1996,8981.08
04201,1997,2789.27
04201,1998,4927.389999999999
04201,1999,8490.91
04201,2000,2982.93
04201,2001,1831.77
04201,2002,10897.59
04201,2003,7349.36
04201,2004,8373.53
04201,2005,4057.79
04201,2006,3013.73
04201,2007,11218.78
04201,2008,4884.38
04201,2009,11489.7
04201,2010,21160.62
04201,2011,9079.05
04201,2012,9848.61
04201,2013,16983.14
04201,2014,19255.24
04201,2015,19630.84
04201,2016,44869.35
04201,2017,39713.16
04201,2018,25755.87
04201,2019,15239.84
04202,1993,4759.32
04202,1995,10025.869999999999
04202,1996,4675.38
04202,1997,667.17
04202,1999,1012.54
04202,2002,300.77
04202,2003,970.45
04202,2007,3603.51
04202,2008,4366.2
04202,2009,7405.88
04202,2010,10736.68
04202,2011,11312.39
04202,2012,6286.46
04202,2014,1508.57
04202,2015,2012.5900000000001
04202,2016,6817.4400000000005
04202,2017,1079.3899999999999
04202,2018,42.3
04202,2019,887.16
04203,1996,672.05
04203,1998,705.06
04203,2000,784.76
04203,2001,280.71
04203,2006,693.11
04203,2007,1879.2600000000002
04203,2008,585.06
04203,2009,1602.19
04203,2010,486.31
04203,2011,873.01
04203,2012,2287.2
04203,2013,3427.46
04203,2014,3670.17
04203,2016,550.95
04203,2017,319.98
04203,2018,860.41
04204,1995,2703.86
04204,1996,460.28
04204,1997,5750.17
04204,1998,3053.27
04204,1999,2231.76
04204,2000,12060.91
04204,2001,12339.37
04204,2002,26286.56
04204,2003,34996.85
04204,2004,20945.13
04204,2005,5118.34
04204,2006,55876.659999999996
04204,2007,64244.32
04204,2008,59719.77
04204,2009,121815.11
04204,2010,72133.31999999999
04204,2011,39090.04
04204,2012,11288.52
04204,2013,54656.91
04204,2014,51278.46
04204,2015,51687.25
04204,2016,72228.11
04204,2017,120155.22
04204,2018,28447.19
04204,2019,41826.45
04301,1988,5437.93
04301,1989,617.33
04301,1990,3648.5599999999995
04301,1991,5708.09
04301,1992,5586.860000000001
04301,1993,4736.98
04301,1994,4556.8099999999995
04301,1995,12140.269999999999
04301,1996,48810.369999999995
04301,1997,101237.68000000001
04301,1998,62765.63
04301,1999,56409.36
04301,2000,63538.560000000005
04301,2001,100069.65
04301,2002,112217.55
04301,2003,43237.81
04301,2004,49900.4
04301,2005,37049.73
04301,2006,72674.75
04301,2007,74902.03
04301,2008,72521.66
04301,2009,80747.6
04301,2010,64579.61
04301,2011,71132.88
04301,2012,61331.729999999996
04301,2013,69984.98
04301,2014,65772.92
04301,2015,93714.0
04301,2016,77560.16
04301,2017,119788.69
04301,2018,125139.72
04301,2019,103774.95
04302,1992,795.77
04302,1993,722.4
04302,1997,2550.91
04302,1998,7130.77
04302,1999,1729.8000000000002
04302,2000,1181.28
04302,2003,774.6800000000001
04302,2005,8100.39
04302,2007,6467.62
04302,2008,6836.97
04302,2009,11716.01
04302,2010,7859.75
04302,2011,10667.25
04302,2012,1977.47
04302,2013,3677.2
04302,2014,2277.86
04302,2015,7232.54
